zipcode,cd,state,city,state_fips_code
01262,2501,MA,STOCKBRIDGE,25
01263,2501,MA,STOCKBRIDGE,25
01264,2501,MA,TYRINGHAM,25
01266,2501,MA,WEST STOCKBRIDGE,25
01267,2501,MA,WILLIAMSTOWN,25
01270,2501,MA,WINDSOR,25
01301,2502,MA,GREENFIELD,25
01302,2502,MA,GREENFIELD,25
01330,2501,MA,ASHFIELD,25
01330,2502,MA,ASHFIELD,25
01331,2502,MA,ATHOL,25
01337,2502,MA,BERNARDSTON,25
01338,2502,MA,BUCKLAND,25
01339,2501,MA,CHARLEMONT,25
01339,2502,MA,CHARLEMONT,25
01340,2502,MA,COLRAIN,25
01341,2502,MA,CONWAY,25
01342,2502,MA,DEERFIELD,25
01343,2501,MA,DRURY,25
01344,2502,MA,ERVING,25
01346,2502,MA,HEATH,25
01347,2502,MA,LAKE PLEASANT,25
01349,2502,MA,MILLERS FALLS,25
01350,2501,MA,MONROE BRIDGE,25
01351,2502,MA,MONTAGUE,25
01354,2502,MA,GILL,25
01355,2502,MA,NEW SALEM,25
01360,2502,MA,NORTHFIELD,25
01364,2502,MA,ORANGE,25
01366,2502,MA,PETERSHAM,25
01367,2501,MA,ROWE,25
01367,2502,MA,ROWE,25
01368,2502,MA,ROYALSTON,25
01370,2501,MA,SHELBURNE FALLS,25
01370,2502,MA,SHELBURNE FALLS,25
01373,2502,MA,SOUTH DEERFIELD,25
01375,2502,MA,SUNDERLAND,25
01376,2502,MA,TURNERS FALLS,25
01378,2502,MA,WARWICK,25
01379,2502,MA,WENDELL,25
01380,2502,MA,WENDELL DEPOT,25
01420,2502,MA,FITCHBURG,25
01420,2503,MA,FITCHBURG,25
01430,2503,MA,ASHBURNHAM,25
01431,2503,MA,ASHBY,25
01432,2503,MA,AYER,25
01434,2503,MA,DEVENS,25
01436,2502,MA,BALDWINVILLE,25
01438,2502,MA,EAST TEMPLETON,25
01440,2502,MA,GARDNER,25
01440,2503,MA,GARDNER,25
01450,2503,MA,GROTON,25
01451,2503,MA,HARVARD,25
01452,2502,MA,HUBBARDSTON,25
01453,2502,MA,LEOMINSTER,25
01453,2503,MA,LEOMINSTER,25
01460,2503,MA,LITTLETON,25
01462,2502,MA,LUNENBURG,25
01462,2503,MA,LUNENBURG,25
01463,2503,MA,PEPPERELL,25
01464,2503,MA,SHIRLEY,25
01467,2503,MA,STILL RIVER,25
01468,2502,MA,TEMPLETON,25
01469,2503,MA,TOWNSEND,25
01472,2503,MA,WEST GROTON,25
01473,2502,MA,WESTMINSTER,25
01473,2503,MA,WESTMINSTER,25
01474,2503,MA,WEST TOWNSEND,25
01475,2503,MA,WINCHENDON,25
01501,2502,MA,AUBURN,25
01503,2502,MA,BERLIN,25
01503,2503,MA,BERLIN,25
01504,2501,MA,BLACKSTONE,25
01504,2504,MA,BLACKSTONE,25
01505,2502,MA,BOYLSTON,25
01506,2501,MA,BROOKFIELD,25
01507,2501,MA,CHARLTON,25
01508,2501,MA,CHARLTON CITY,25
01509,2501,MA,CHARLTON DEPOT,25
01510,2503,MA,CLINTON,25
01515,2501,MA,EAST BROOKFIELD,25
01516,2502,MA,DOUGLAS,25
01518,2501,MA,FISKDALE,25
01519,2502,MA,GRAFTON,25
01520,2502,MA,HOLDEN,25
01521,2501,MA,HOLLAND,25
01522,2502,MA,JEFFERSON,25
01523,2502,MA,LANCASTER,25
01523,2503,MA,LANCASTER,25
01524,2502,MA,LEICESTER,25
01525,2502,MA,LINWOOD,25
01526,2502,MA,MANCHAUG,25
01527,2502,MA,MILLBURY,25
01529,2504,MA,MILLVILLE,25
01531,2501,MA,NEW BRAINTREE,25
01531,2502,MA,NEW BRAINTREE,25
01532,2502,MA,NORTHBOROUGH,25
01532,2503,MA,NORTHBOROUGH,25
01534,2502,MA,NORTHBRIDGE,25
01535,2501,MA,NORTH BROOKFIELD,25
01536,2502,MA,NORTH GRAFTON,25
01537,2501,MA,NORTH OXFORD,25
01538,2502,MA,NORTH UXBRIDGE,25
01540,2501,MA,OXFORD,25
01541,2502,MA,PRINCETON,25
01542,2501,MA,ROCHDALE,25
01542,2502,MA,ROCHDALE,25
01543,2502,MA,RUTLAND,25
01545,2502,MA,SHREWSBURY,25
01546,2502,MA,SHREWSBURY,25
01550,2501,MA,SOUTHBRIDGE,25
01560,2502,MA,SOUTH GRAFTON,25
01561,2503,MA,SOUTH LANCASTER,25
01562,2501,MA,SPENCER,25
01564,2502,MA,STERLING,25
01566,2501,MA,STURBRIDGE,25
01568,2502,MA,UPTON,25
01569,2502,MA,UXBRIDGE,25
01570,2501,MA,WEBSTER,25
01570,2502,MA,WEBSTER,25
01571,2501,MA,DUDLEY,25
01581,2502,MA,WESTBOROUGH,25
01583,2502,MA,WEST BOYLSTON,25
01585,2501,MA,WEST BROOKFIELD,25
01586,2502,MA,WEST MILLBURY,25
01588,2502,MA,WHITINSVILLE,25
01590,2502,MA,SUTTON,25
01601,2502,MA,WORCESTER,25
01602,2502,MA,WORCESTER,25
01603,2502,MA,WORCESTER,25
01604,2502,MA,WORCESTER,25
01605,2502,MA,WORCESTER,25
01606,2502,MA,WORCESTER,25
01607,2502,MA,WORCESTER,25
01608,2502,MA,WORCESTER,25
01609,2502,MA,WORCESTER,25
01610,2502,MA,WORCESTER,25
01611,2502,MA,CHERRY VALLEY,25
01612,2502,MA,PAXTON,25
01613,2502,MA,WORCESTER,25
01614,2502,MA,WORCESTER,25
01653,2502,MA,WORCESTER,25
01655,2502,MA,WORCESTER,25
01701,2505,MA,FRAMINGHAM,25
01702,2505,MA,FRAMINGHAM,25
01703,2505,MA,FRAMINGHAM,25
